pub_id,pmid,doi,title,author_count,all_authors,journal,year,volume,issue,pages,publication_type,linked_award_ids,award_count,keywords,formatted_nlm
PUB-SYN-030,90000030,10.55555/syn-apm-2025-0102,Mithril-analog layered composites: achieving strength-to-weight ratios beyond conventional titanium alloys,3,eowyn-rohirrim; Telcontar A; Gloinsson G,Adv Protect Mater,2025,14,1,1-16,research_article,AWARD-SYN-005,1,mithril-analog; layered composites; strength-to-weight ratio; titanium alloys,"Rohirrim ÉS, Telcontar A, Gloinsson G. Mithril-analog layered composites: achieving strength-to-weight ratios beyond conventional titanium alloys. Adv Protect Mater. 2025;14(1):1-16. doi:10.55555/syn-apm-2025-0102. PMID: 90000030."
PUB-SYN-031,90000031,10.55555/syn-ib-2024-0056,Shield-wall dynamics: biomechanical optimization of overlapping protective panel arrays,2,eowyn-rohirrim; Meduseld T,Impact Biomech,2024,9,3,245-261,research_article,AWARD-SYN-005,1,shield-wall dynamics; biomechanics; panel arrays; impact optimization,"Rohirrim ÉS, Meduseld T. Shield-wall dynamics: biomechanical optimization of overlapping protective panel arrays. Impact Biomech. 2024;9(3):245-261. doi:10.55555/syn-ib-2024-0056. PMID: 90000031."
PUB-SYN-032,90000032,10.55555/syn-jbie-2020-0028,Nano-laminate microstructure control in bio-inspired alloys: lessons from natural armor systems,3,eowyn-rohirrim; Gloinsson G; Telcontar A,J Bio-Inspired Eng,2020,7,2,134-152,research_article,,0,nano-laminate; bio-inspired alloys; natural armor; microstructure control,"Rohirrim ÉS, Gloinsson G, Telcontar A. Nano-laminate microstructure control in bio-inspired alloys: lessons from natural armor systems. J Bio-Inspired Eng. 2020;7(2):134-152. doi:10.55555/syn-jbie-2020-0028. PMID: 90000032."
PUB-SYN-033,90000033,10.55555/syn-apm-2016-0007,First synthesis of Mithril-7: a lightweight alloy with anomalous hardness-to-ductility coupling,1,eowyn-rohirrim,Adv Protect Mater,2016,5,4,301-310,research_article,,0,Mithril-7; alloy synthesis; hardness-ductility coupling; lightweight armor,Rohirrim ÉS. First synthesis of Mithril-7: a lightweight alloy with anomalous hardness-to-ductility coupling. Adv Protect Mater. 2016;5(4):301-310. doi:10.55555/syn-apm-2016-0007. PMID: 90000033.
PUB-SYN-034,90000034,10.55555/syn-apm-2025-0155,Cryogenic processing enhances multi-hit tolerance in Mithril-7 shield panels: a collaborative cold-environment materials study,2,eowyn-rohirrim; rj-macready,Adv Protect Mater,2025,14,3,201-212,research_article,AWARD-SYN-005,1,cryogenic processing; multi-hit tolerance; Mithril-7; cold-environment materials,"Rohirrim ÉS, MacReady RJ. Cryogenic processing enhances multi-hit tolerance in Mithril-7 shield panels: a collaborative cold-environment materials study. Adv Protect Mater. 2025;14(3):201-212. doi:10.55555/syn-apm-2025-0155. PMID: 90000034."
PUB-SYN-040,90000040,10.55555/syn-jrmh-2025-0034,Bilingual recruitment and retention patterns in rural maternal nutrition studies: a mixed-methods analysis,3,iris-velasquez; Rivas N; Park E,J Rural Matern Health,2025,8,1,45-63,research_article,AWARD-SYN-004,1,bilingual recruitment; maternal nutrition; rural health; mixed methods,"Velasquez IM, Rivas N, Park E. Bilingual recruitment and retention patterns in rural maternal nutrition studies: a mixed-methods analysis. J Rural Matern Health. 2025;8(1):45-63. doi:10.55555/syn-jrmh-2025-0034. PMID: 90000040."
PUB-SYN-041,90000041,10.55555/syn-chi-2024-0089,Combining store audits and mobile diaries to estimate healthy food access volatility in rural Latino communities,3,iris-velasquez; Morningside C; Rivas N,Community Health Inform,2024,6,2,112-129,research_article,AWARD-SYN-004,1,food access; store audits; mobile diaries; rural health,"Velasquez IM, Morningside C, Rivas N. Combining store audits and mobile diaries to estimate healthy food access volatility in rural Latino communities. Community Health Inform. 2024;6(2):112-129. doi:10.55555/syn-chi-2024-0089. PMID: 90000041."
PUB-SYN-042,90000042,10.55555/syn-bhd-2022-0015,"Mixed-method pipelines for bilingual community health dashboards: design, implementation, and partner feedback",4,iris-velasquez; Park E; Morningside C; Rivas N,Biling Health Data,2022,1,1,1-19,research_article,,0,bilingual dashboards; community health; mixed methods; implementation,"Velasquez IM, Park E, Morningside C, Rivas N. Mixed-method pipelines for bilingual community health dashboards: design, implementation, and partner feedback. Biling Health Data. 2022;1(1):1-19. doi:10.55555/syn-bhd-2022-0015. PMID: 90000042."
PUB-SYN-050,90000050,10.55555/syn-jras-2025-0067,"Designing provenance-aware assistants for sponsored project development: architecture, evaluation, and lessons learned",3,ashford_malik; Mercado S; Halberg O,J Res AI Syst,2025,4,1,1-24,research_article,AWARD-SYN-006,1,provenance-aware AI; research assistants; sponsored projects; workflow systems,"Ashford MT, Mercado S, Halberg O. Designing provenance-aware assistants for sponsored project development: architecture, evaluation, and lessons learned. J Res AI Syst. 2025;4(1):1-24. doi:10.55555/syn-jras-2025-0067. PMID: 90000050."
PUB-SYN-051,90000051,10.55555/syn-kge-2024-0033,Graph-based entity linking for noisy faculty activity data: benchmarks and baselines,3,ashford_malik; Halberg O; Dastan P,Knowl Graph Eng,2024,3,2,89-106,research_article,AWARD-SYN-006,1,entity linking; knowledge graphs; faculty activity data; benchmarks,"Ashford MT, Halberg O, Dastan P. Graph-based entity linking for noisy faculty activity data: benchmarks and baselines. Knowl Graph Eng. 2024;3(2):89-106. doi:10.55555/syn-kge-2024-0033. PMID: 90000051."
PUB-SYN-052,90000052,10.55555/syn-iar-2023-0021,Policy-grounded retrieval pipelines for institutional AI copilots: design principles and failure modes,3,ashford_malik; Dastan P; Mercado S,Inst AI Rev,2023,2,4,312-330,research_article,,0,retrieval pipelines; institutional AI; policy grounding; failure modes,"Ashford MT, Dastan P, Mercado S. Policy-grounded retrieval pipelines for institutional AI copilots: design principles and failure modes. Inst AI Rev. 2023;2(4):312-330. doi:10.55555/syn-iar-2023-0021. PMID: 90000052."
PUB-SYN-060,90000060,10.55555/syn-esn-2025-0044,Sensor fusion for forecasting debris pulses in post-fire headwater catchments,3,quillstone_juniper; Sorrell A; Ibarra T,Environ Sens Netw,2025,10,1,78-96,research_article,AWARD-SYN-007,1,sensor fusion; debris pulses; post-fire hydrology; headwater catchments,"Quillstone JL, Sorrell A, Ibarra T. Sensor fusion for forecasting debris pulses in post-fire headwater catchments. Environ Sens Netw. 2025;10(1):78-96. doi:10.55555/syn-esn-2025-0044. PMID: 90000060."
PUB-SYN-061,90000061,10.55555/syn-wdt-2024-0019,Digital twins for irrigation modernization under intermittent telemetry coverage,2,quillstone_juniper; Enright P,Watershed Digit Twin,2024,2,1,1-18,research_article,AWARD-SYN-007,1,digital twins; irrigation modernization; telemetry; water management,"Quillstone JL, Enright P. Digital twins for irrigation modernization under intermittent telemetry coverage. Watershed Digit Twin. 2024;2(1):1-18. doi:10.55555/syn-wdt-2024-0019. PMID: 90000061."
PUB-SYN-062,90000062,10.55555/syn-esn-2022-0011,Low-cost turbidity sensing networks for flash sediment events after wildfire,3,quillstone_juniper; Ibarra T; Sorrell A,Environ Sens Netw,2022,7,3,201-215,research_article,,0,turbidity sensing; wildfire; sediment events; low-cost sensors,"Quillstone JL, Ibarra T, Sorrell A. Low-cost turbidity sensing networks for flash sediment events after wildfire. Environ Sens Netw. 2022;7(3):201-215. doi:10.55555/syn-esn-2022-0011. PMID: 90000062."
PUB-SYN-070,90000070,10.55555/syn-per-2023-0056,Veterinary containment guidelines for research stations handling organisms with phenotypic mimicry capabilities,2,blair-copper; rj-macready,Polar Extremophile Res,2023,10,2,145-158,guidelines_article,,0,veterinary containment; phenotypic mimicry; biosafety guidelines; research stations,"Copper BA, MacReady RJ. Veterinary containment guidelines for research stations handling organisms with phenotypic mimicry capabilities. Polar Extremophile Res. 2023;10(2):145-158. doi:10.55555/syn-per-2023-0056. PMID: 90000070."
PUB-SYN-071,90000071,10.55555/syn-afe-2023-0098,Deep time perspectives on organism longevity: a unifying framework for geological-scale persistence,1,gandalf-greyhame,Anc Forest Ecol,2023,10,4,401-420,review_article,,0,organism longevity; geological persistence; deep time; evolutionary biology,Greyhame GI. Deep time perspectives on organism longevity: a unifying framework for geological-scale persistence. Anc Forest Ecol. 2023;10(4):401-420. doi:10.55555/syn-afe-2023-0098. PMID: 90000071.
PUB-SYN-072,90000072,10.55555/syn-fbm-2021-0019,Field contamination detection protocols for polar research stations handling novel extremophiles,2,bennings-clark; blair-copper,Field Biosecur Methods,2021,3,2,88-101,methods_article,,0,contamination detection; field protocols; polar stations; extremophiles,"Clark BN, Copper BA. Field contamination detection protocols for polar research stations handling novel extremophiles. Field Biosecur Methods. 2021;3(2):88-101. doi:10.55555/syn-fbm-2021-0019. PMID: 90000072."
PUB-SYN-073,90000073,10.55555/syn-am-2020-0045,Sample chain-of-custody frameworks for cryogenic biological material from Antarctic ice cores,3,bennings-clark; rj-macready; blair-copper,Antarct Microbiol,2020,7,4,334-347,methods_article,,0,chain of custody; cryogenic material; Antarctic ice cores; sample management,"Clark BN, MacReady RJ, Copper BA. Sample chain-of-custody frameworks for cryogenic biological material from Antarctic ice cores. Antarct Microbiol. 2020;7(4):334-347. doi:10.55555/syn-am-2020-0045. PMID: 90000073."
PUB-SYN-074,90000074,10.55555/syn-dl-2023-0078,LiDAR-derived canopy connectivity indices predict below-ground network density in old-growth Fangornium stands,2,legolas-greenwood; radagast-brownleaf,Dendroecol Lett,2023,15,4,312-322,research_article,AWARD-SYN-003,1,LiDAR; canopy connectivity; below-ground networks; Fangornium,"Greenwood LA, Brownleaf RT. LiDAR-derived canopy connectivity indices predict below-ground network density in old-growth Fangornium stands. Dendroecol Lett. 2023;15(4):312-322. doi:10.55555/syn-dl-2023-0078. PMID: 90000074."

